,companynames,rating,reviews,location,size,industry,revenue,benefit_ratings,Health_Insurance,Dental_Insurance,FSA,Vision_iInsurance,HSA,Life_Insurance,SLI,Disability_Insurance,Mental_Health_Care,Retiree_Health,Dismemberment_Insurance,Pension_Plan,Retirement_Plan,Employee_Stock,Performance_Bonus,Stock_Options,Equity_Incentive,Supplemental_Workers,Charitable_Gift,Maternity_Leave,Work_From_Home,Fertility_Assistance,Dependent_Care,Adoption_Assistance,Childcare,Flexible_Hours,Military_Leave,Family_Medical_Leave,Paid_Holiday,Paid_time_off,Sick_Days,Volunteer_Time_Off,Sabbatical,Employee_Discount,Free_Lunch_Snacks,Employee_Assistance,Gym_Membership,Commuter_Checks,Pet_Friendly,Mobile_Discount,Company_Car,Company_Social_Events,Travel_Concierge,Legal_Assistance,Diversity_Program,Job_Training,Apprenticeship,Tuition_Assistance,Accident_Insurance,Health_Care_On_Site,retire_401K,Unpaid_Extended_Leave,Bereavement_Leave,Professional_Development,sum,location_state,US
66,CA Technologies,3.7,3000,"San Jose, CA",Size10000+ employees,Industry Computer Hardware & Software,Revenue Unknown / Non-Applicable,4.0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,39,CA,1
67,CACI International,3.4,1400,"Arlington, VA",Size10000+ employees,Industry IT Services,Revenue $2 to $5 billion (USD) per year,3.5,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,25,VA,1
68,CBRE,3.7,3100,"Los Angeles, CA",Size10000+ employees,Industry Real Estate,Revenue $5 to $10 billion (USD) per year,3.4,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,CA,1
69,CDK Global,2.5,1700,"Hoffman Estates, IL",Size5001 to 10000 employees,Industry Computer Hardware & Software,Revenue $2 to $5 billion (USD) per year,3.2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,28,IL,1
70,CDW,3.8,1900,"Lincolnshire, IL",Size5001 to 10000 employees,Industry Computer Hardware & Software,Revenue $10+ billion (USD) per year,4.0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,41,IL,1
71,CR England,4.2,1000,"Salt Lake City, UT",Size5001 to 10000 employees,Industry Trucking,Revenue $1 to $2 billion (USD) per year,3.1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,19,UT,1
72,CVS Health,2.8,15000,"Woonsocket, RI",Size10000+ employees,Industry Health Care Services & Hospitals,Revenue $10+ billion (USD) per year,3.0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,34,RI,1
73,Capco,3.7,1000,"London, United Kingdom",Size5001 to 10000 employees,Industry Consulting,Revenue $500 million to $1 billion (USD) per year,3.9,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,27,United Kingdom,0
74,Capgemini,3.3,14000,"Paris, France",Size10000+ employees,Industry Enterprise Software & Network Solutions,Revenue $10+ billion (USD) per year,3.6,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,34,France,0
75,Capital Group,3.5,1100,"Los Angeles, CA",Size5001 to 10000 employees,Industry Investment Banking & Asset Management,Revenue $1 to $2 billion (USD) per year,4.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,38,CA,1
76,Capital One,3.8,6700,"Mc Lean, VA",Size10000+ employees,Industry Banks & Credit Unions,Revenue $10+ billion (USD) per year,4.3,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,32,VA,1
77,Cardinal Health,3.2,1900,"Dublin, OH",Size10000+ employees,Industry Wholesale,Revenue $10+ billion (USD) per year,3.8,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,14,OH,1
78,CareerBuilder,2.4,1100,"Chicago, IL",Size1001 to 5000 employees,Industry Internet,Revenue $100 to $500 million (USD) per year,4.2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,26,IL,1
79,Carnegie Mellon University,4.5,1100,"Pittsburgh, PA",Size1001 to 5000 employees,Industry Colleges & Universities,Revenue $1 to $2 billion (USD) per year,3.9,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,19,PA,1
80,Cellular Sales,3.8,1300,"Knoxville, TN",Size5001 to 10000 employees,"Industry Cable, Internet & Telephone Providers",Revenue $1 to $2 billion (USD) per year,2.9,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13,TN,1
81,Cengage,3.9,1200,"Boston, MA",Size1001 to 5000 employees,Industry Publishing,Revenue $1 to $2 billion (USD) per year,3.8,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,32,MA,1
82,CenturyLink,2.9,3600,"Monroe, LA",Size10000+ employees,"Industry Cable, Internet & Telephone Providers",Revenue $10+ billion (USD) per year,3.6,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,45,LA,1
83,Ceridian,4.4,1300,"Minneapolis, MN",Size5001 to 10000 employees,Industry Enterprise Software & Network Solutions,Revenue $500 million to $1 billion (USD) per year,4.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,35,MN,1
84,Cerner,3.5,3400,"Kansas City, MO",Size10000+ employees,Industry Computer Hardware & Software,Revenue $5 to $10 billion (USD) per year,3.8,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,22,MO,1
85,Charles Schwab,3.5,2200,"San Francisco, CA",Size10000+ employees,Industry Investment Banking & Asset Management,Revenue $5 to $10 billion (USD) per year,3.8,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,44,CA,1
86,Charlotte Russe,3.3,1200,"San Francisco, CA",Size5001 to 10000 employees,"Industry Department, Clothing, & Shoe Stores",Revenue $500 million to $1 billion (USD) per year,2.7,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14,CA,1
87,Cheesecake Factory,3.5,2000,"Calabasas Hills, CA",Size10000+ employees,Industry Casual Restaurants,Revenue $2 to $5 billion (USD) per year,3.6,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,36,CA,1
88,Chico's FAS,3.0,1400,"Fort Myers, FL",Size10000+ employees,"Industry Department, Clothing, & Shoe Stores",Revenue $2 to $5 billion (USD) per year,3.3,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,29,FL,1
89,Chili's Grill and Bar,3.3,2700,"Dallas, TX",Size10000+ employees,Industry Casual Restaurants,Revenue $100 to $500 million (USD) per year,3.0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,14,TX,1
90,Chipotle,3.4,5200,"Denver, CO",Size10000+ employees,Industry Casual Restaurants,Revenue $2 to $5 billion (USD) per year,3.6,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,41,CO,1
91,Chubb,3.2,1000,"Zurich, Switzerland",Size10000+ employees,Industry Insurance Carriers,Revenue $10+ billion (USD) per year,3.9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,42,Switzerland,0
92,Cigna,3.6,2000,"Bloomfield, CT",Size10000+ employees,Industry Insurance Carriers,Revenue $10+ billion (USD) per year,3.4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,38,CT,1
93,Cintas,3.5,2300,"Cincinnati, OH",Size10000+ employees,Industry Building & Personnel Services,Revenue $5 to $10 billion (USD) per year,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,4,OH,1
94,Cisco Systems,4.0,16000,"San Jose, CA",Size10000+ employees,Industry Computer Hardware & Software,Revenue $10+ billion (USD) per year,4.2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,45,CA,1
95,Citrix,3.7,2600,"Fort Lauderdale, FL",Size5001 to 10000 employees,Industry Computer Hardware & Software,Revenue $2 to $5 billion (USD) per year,4.2,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,26,FL,1
96,City Year,3.5,1100,"Boston, MA",Size1001 to 5000 employees,Industry Education Training Services,Revenue $100 to $500 million (USD) per year,3.0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,22,MA,1
97,CoStar Group,3.0,1100,"Washington, DC",Size1001 to 5000 employees,Industry Computer Hardware & Software,Revenue $1 to $2 billion (USD) per year,4.3,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,34,DC,1
98,Coach,3.6,1600,"New York, NY",Size10000+ employees,Industry Other Retail Stores,Revenue $2 to $5 billion (USD) per year,4.0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,26,NY,1
99,Cognizant Technology Solutions,3.6,27000,"Teaneck, NJ",Size10000+ employees,Industry Unknown,Revenue $10+ billion (USD) per year,3.5,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,14,NJ,1
100,Comcast,3.5,8300,"Philadelphia, PA",Size10000+ employees,"Industry Cable, Internet & Telephone Providers",Revenue $10+ billion (USD) per year,4.2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,34,PA,1
101,CompuCom,2.7,1700,"Fort Mill, SC",Size10000+ employees,Industry IT Services,Revenue $2 to $5 billion (USD) per year,2.6,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17,SC,1
102,Conagra Brands,3.3,1000,"Chicago, IL",Size10000+ employees,Industry Food & Beverage Manufacturing,Revenue $5 to $10 billion (USD) per year,3.6,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,28,IL,1
103,Cornell University,4.4,1200,"Ithaca, NY",Size10000+ employees,Industry Colleges & Universities,Revenue $2 to $5 billion (USD) per year,4.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,31,NY,1
104,Cracker Barrel,3.2,2900,"Lebanon, TN",Size10000+ employees,Industry Casual Restaurants,Revenue $2 to $5 billion (USD) per year,3.1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,32,TN,1
105,Crate and Barrel,3.4,1000,"Northbrook, IL",Size10000+ employees,Industry Home Furniture & Housewares Stores,Revenue $1 to $2 billion (USD) per year,3.4,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,25,IL,1
106,DISH,2.8,4200,"Englewood, CO",Size10000+ employees,"Industry Cable, Internet & Telephone Providers",Revenue $10+ billion (USD) per year,2.6,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16,CO,1
107,DST Systems,2.8,1000,"Kansas City, MO",Size10000+ employees,Industry Computer Hardware & Software,Revenue $2 to $5 billion (USD) per year,3.5,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,23,MO,1
108,DSW,3.2,2000,"Columbus, OH",Size10000+ employees,"Industry Department, Clothing, & Shoe Stores",Revenue $2 to $5 billion (USD) per year,3.1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,25,OH,1
109,DXC Technology,2.7,4800,"Tysons, VA",Size10000+ employees,Industry IT Services,Revenue $10+ billion (USD) per year,2.5,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,29,VA,1
110,DaVita,3.3,2500,"Denver, CO",Size10000+ employees,Industry Health Care Services & Hospitals,Revenue $10+ billion (USD) per year,3.2,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,14,CO,1
111,Darden,3.8,1500,"Orlando, FL",Size10000+ employees,Industry Casual Restaurants,Revenue $5 to $10 billion (USD) per year,3.6,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,34,FL,1
112,Dell,3.8,13000,"Round Rock, TX",Size10000+ employees,Industry IT Services,Revenue $10+ billion (USD) per year,3.8,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,35,TX,1
113,Deloitte,3.8,27000,"New York, NY",Size10000+ employees,Industry Accounting,Revenue $10+ billion (USD) per year,4.2,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,35,NY,1
114,Delta Air Lines,4.2,2500,"Atlanta, GA",Size10000+ employees,Industry Airlines,Revenue $10+ billion (USD) per year,4.1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20,GA,1
115,Denny's,3.2,1200,"Spartanburg, SC",Size5001 to 10000 employees,Industry Casual Restaurants,Revenue $100 to $500 million (USD) per year,2.6,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,35,SC,1
116,Diebold Nixdorf,3.1,1100,"North Canton, OH",Size10000+ employees,Industry Computer Hardware & Software,Revenue $2 to $5 billion (USD) per year,3.5,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,35,OH,1
117,Discover,3.6,1800,"Riverwoods, IL",Size10000+ employees,Industry Lending,Revenue $5 to $10 billion (USD) per year,4.3,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,31,IL,1
118,"Discovery, Inc.",3.3,1000,"New York, NY",Size10000+ employees,Industry TV Broadcast & Cable Networks,Revenue $5 to $10 billion (USD) per year,4.3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,42,NY,1
119,Dollar General,2.7,5600,"Goodlettsville, TN",Size10000+ employees,Industry Other Retail Stores,Revenue $10+ billion (USD) per year,2.6,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,20,TN,1
120,Domino's,3.4,4400,"Ann Arbor, MI",Size10000+ employees,Industry Fast-Food & Quick-Service Restaurants,Revenue $1 to $2 billion (USD) per year,2.3,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,34,MI,1
121,DoorDash,3.9,1100,"San Francisco, CA",Size501 to 1000 employees,Industry Express Delivery Services,Revenue Unknown / Non-Applicable,2.4,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,27,CA,1
122,DuPont,3.6,1700,"Wilmington, DE",Size10000+ employees,Industry Chemical Manufacturing,Revenue $10+ billion (USD) per year,3.8,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,14,DE,1
123,Duke University,4.1,1200,"Durham, NC",Size10000+ employees,Industry Colleges & Universities,Revenue $2 to $5 billion (USD) per year,4.1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,31,NC,1
124,DynCorp International,3.5,1100,"McLean, VA",Size10000+ employees,Industry Aerospace & Defense,Revenue $2 to $5 billion (USD) per year,3.5,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,VA,1
125,EPAM,3.7,1600,"Newtown, PA",Size10000+ employees,Industry IT Services,Revenue $1 to $2 billion (USD) per year,3.6,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,25,PA,1
126,EY,3.7,21000,"London, United Kingdom",Size10000+ employees,Industry Accounting,Revenue $10+ billion (USD) per year,3.9,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,40,United Kingdom,0
127,Eastman,4.0,1600,"Kingsport, TN",Size10000+ employees,Industry Chemical Manufacturing,Revenue $5 to $10 billion (USD) per year,3.7,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,19,TN,1
128,Edelman,3.4,1900,"New York, NY",Size5001 to 10000 employees,Industry Advertising & Marketing,Revenue $500 million to $1 billion (USD) per year,3.9,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,37,NY,1
129,Eli Lilly and Company,3.8,1700,"Indianapolis, IN",Size10000+ employees,Industry Biotech & Pharmaceuticals,Revenue $10+ billion (USD) per year,4.3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,45,IN,1
130,Enterprise Holdings,3.6,1200,"Saint Louis, MO",Size10000+ employees,Industry Car Rental,Revenue $10+ billion (USD) per year,3.9,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,25,MO,1
131,Epic,3.7,2000,"Verona, WI",Size5001 to 10000 employees,Industry Computer Hardware & Software,Revenue $2 to $5 billion (USD) per year,4.2,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,28,WI,1
132,Epsilon,3.4,1000,"Irving, TX",Size5001 to 10000 employees,Industry Advertising & Marketing,Revenue $2 to $5 billion (USD) per year,3.9,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,37,TX,1
133,Ericsson-Worldwide,3.4,8700,"Stockholm, Sweden",Size10000+ employees,Industry Telecommunications Services,Revenue $10+ billion (USD) per year,4.4,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,30,Sweden,0
134,European Wax Center,2.9,1200,"Hallandale Beach, FL",Size1 to 50 employees,"Industry Health, Beauty, & Fitness",Revenue $100 to $500 million (USD) per year,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,FL,1
135,Expedia Group,3.8,2900,"Bellevue, WA",Size10000+ employees,Industry Internet,Revenue $5 to $10 billion (USD) per year,4.3,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,42,WA,1
136,Experian,3.6,1700,"Dublin, Ireland",Size10000+ employees,Industry Financial Analytics & Research,Revenue $2 to $5 billion (USD) per year,4.1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,36,Ireland,0
137,Express Employment Professionals,3.5,1500,"Oklahoma City, OK",Size10000+ employees,Industry Staffing & Outsourcing,Revenue $2 to $5 billion (USD) per year,2.6,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,22,OK,1
