,companynames,rating,reviews,location,size,industry,revenue,benefit_ratings,Health_Insurance,Dental_Insurance,FSA,Vision_iInsurance,HSA,Life_Insurance,SLI,Disability_Insurance,Mental_Health_Care,Retiree_Health,Dismemberment_Insurance,Pension_Plan,Retirement_Plan,Employee_Stock,Performance_Bonus,Stock_Options,Equity_Incentive,Supplemental_Workers,Charitable_Gift,Maternity_Leave,Work_From_Home,Fertility_Assistance,Dependent_Care,Adoption_Assistance,Childcare,Flexible_Hours,Military_Leave,Family_Medical_Leave,Paid_Holiday,Paid_time_off,Sick_Days,Volunteer_Time_Off,Sabbatical,Employee_Discount,Free_Lunch_Snacks,Employee_Assistance,Gym_Membership,Commuter_Checks,Pet_Friendly,Mobile_Discount,Company_Car,Company_Social_Events,Travel_Concierge,Legal_Assistance,Diversity_Program,Job_Training,Apprenticeship,Tuition_Assistance,Accident_Insurance,Health_Care_On_Site,retire_401K,Unpaid_Extended_Leave,Bereavement_Leave,Professional_Development,sum,location_state,US
14,Adobe,4.1,3600,"San Jose, CA",Size10000+ employees,Industry Computer Hardware & Software,Revenue $5 to $10 billion (USD) per year,4.6,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,41,CA,1
15,Advance Auto Parts,3.1,2400,"Roanoke, VA",Size10000+ employees,Industry Automotive Parts & Accessories Stores,Revenue $5 to $10 billion (USD) per year,3.0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,22,VA,1
16,Advantage Solutions,3.2,2700,"Irvine, CA",Size10000+ employees,Industry Staffing & Outsourcing,Revenue $10+ billion (USD) per year,2.6,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,21,CA,1
17,Aerotek,3.3,3800,"Hanover, MD",Size5001 to 10000 employees,Industry Unknown,Revenue Unknown / Non-Applicable,2.7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,MD,1
18,Agilent Technologies,3.9,1200,"Santa Clara, CA",Size10000+ employees,Industry Biotech & Pharmaceuticals,Revenue $2 to $5 billion (USD) per year,3.6,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,CA,1
19,Akamai,3.6,1200,"Cambridge, MA",Size5001 to 10000 employees,Industry IT Services,Revenue $1 to $2 billion (USD) per year,4.4,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,30,MA,1
20,Allied Universal,2.9,1800,"Santa Ana, CA",Size10000+ employees,Industry Security Services,Revenue $5 to $10 billion (USD) per year,2.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,CA,1
21,Allstate,3.5,4500,"Northbrook, IL",Size10000+ employees,Industry Unknown,Revenue $10+ billion (USD) per year,3.4,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,34,IL,1
22,Alorica,2.6,3300,"Irvine, CA",Size10000+ employees,Industry Staffing & Outsourcing,Revenue $2 to $5 billion (USD) per year,2.2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,25,CA,1
23,Altisource,3.0,1100,"Luxembourg, Luxembourg",Size10000+ employees,Industry Investment Banking & Asset Management,Revenue $500 million to $1 billion (USD) per year,3.0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,24,Luxembourg,0
24,American Airlines,3.8,2500,"Fort Worth, TX",Size10000+ employees,Industry Airlines,Revenue $10+ billion (USD) per year,3.8,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,23,TX,1
25,American Cancer Society,3.0,1300,"Atlanta, GA",Size5001 to 10000 employees,Industry Social Assistance,Revenue Unknown / Non-Applicable,4.1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,GA,1
26,American Express,3.9,6500,"New York, NY",Size10000+ employees,Industry Financial Transaction Processing,Revenue $10+ billion (USD) per year,4.0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,17,NY,1
27,American Red Cross,3.0,2600,"Washington, DC",Size10000+ employees,Industry Social Assistance,Revenue $2 to $5 billion (USD) per year,3.2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,22,DC,1
28,Anthem,3.6,1600,"Indianapolis, IN",Size10000+ employees,Industry Insurance Carriers,Revenue $10+ billion (USD) per year,3.8,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,36,IN,1
29,Apex Systems,3.1,1200,"Glen Allen, VA",Size1001 to 5000 employees,Industry Staffing & Outsourcing,Revenue $1 to $2 billion (USD) per year,2.6,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,16,VA,1
